date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
Mar 07, 2021	₩1,867,655.09	₩1,952,685.47	₩1,846,412.91	₩1,943,919.57	₩26,862,964,378,150	₩223,488,444,248,657
Mar 06, 2021	₩1,728,861.31	₩1,883,127.75	₩1,713,932.94	₩1,866,920.75	₩25,662,901,858,306	₩214,590,434,861,741
Mar 05, 2021	₩1,748,090.61	₩1,746,354.84	₩1,638,084.99	₩1,729,879.16	₩23,889,902,438,229	₩199,830,530,884,162
Mar 04, 2021	₩1,776,654.52	₩1,828,339.57	₩1,707,450.85	₩1,748,513.07	₩25,845,068,740,501	₩199,925,410,562,959
Mar 03, 2021	₩1,678,356.87	₩1,853,745.84	₩1,666,009.17	₩1,778,041.62	₩25,516,338,595,817	₩203,761,078,803,011
Mar 02, 2021	₩1,724,410.04	₩1,785,530.16	₩1,644,235.23	₩1,679,659.55	₩24,832,779,584,132	₩189,065,223,901,396
Mar 01, 2021	₩1,594,131.36	₩1,730,156.19	₩1,593,304.61	₩1,725,120.31	₩27,034,167,707,131	₩202,194,508,420,948
Feb 28, 2021	₩1,642,153.21	₩1,651,749.56	₩1,462,862.07	₩1,592,891.47	₩31,088,061,526,936	₩182,960,572,742,052
Feb 27, 2021	₩1,627,607.54	₩1,715,350.74	₩1,612,823.90	₩1,642,279.96	₩23,332,169,663,489	₩188,613,632,022,861
Feb 26, 2021	₩1,655,500.20	₩1,759,344.13	₩1,584,005.35	₩1,626,599.87	₩35,195,743,227,400	₩185,915,736,173,183
Feb 25, 2021	₩1,799,798.65	₩1,856,925.36	₩1,640,281.58	₩1,652,197.90	₩27,108,566,338,004	₩187,623,878,894,836
Feb 24, 2021	₩1,744,730.59	₩1,896,406.47	₩1,676,860.66	₩1,801,107.28	₩34,782,999,099,380	₩207,332,331,696,540
Feb 23, 2021	₩1,982,100.22	₩1,982,100.22	₩1,533,298.77	₩1,743,317.72	₩57,891,480,903,965	₩200,557,874,354,669
Feb 22, 2021	₩2,140,102.97	₩2,141,093.58	₩1,759,449.42	₩1,982,749.96	₩46,891,395,899,986	₩226,154,167,582,952
Feb 21, 2021	₩2,122,129.25	₩2,183,610.07	₩2,090,822.75	₩2,140,150.75	₩26,131,906,837,420	₩245,700,278,695,482
Feb 20, 2021	₩2,167,731.09	₩2,252,214.31	₩2,024,641.10	₩2,123,081.39	₩38,375,264,602,727	₩243,632,034,676,321
